,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AHTGS,AATGS,AHTGC,AATGC,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HomeTeamLP,AwayTeamLP,MW,DiffLP,HTGD,ATGD,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,DiffFormPts
5471,Burnley,Southampton,1,0,H,10,25,24,12,0.75,1.625,L,D,D,L,L,L,18.0,8.0,16.0,10.0,-0.875,0.8125,LDD,LLL,2,0,0.125
5472,Chelsea,Hull,2,0,H,34,15,13,21,2.25,0.8125,L,W,D,D,D,L,3.0,16.0,16.0,-13.0,1.3125,-0.375,LWD,DDL,4,2,0.125
5473,Crystal Palace,Stoke,1,1,D,18,17,23,20,0.875,1.125,D,L,D,W,L,L,11.0,9.0,16.0,2.0,-0.3125,-0.1875,DLD,WLL,2,3,-0.0625
5474,Leicester,Man City,0,1,A,15,32,26,14,0.625,2.0625,L,L,L,W,W,W,18.0,1.0,16.0,17.0,-0.6875,1.125,LLL,WWW,0,9,-0.5625
5475,Sunderland,West Ham,1,1,D,13,26,23,18,0.9375,1.6875,D,L,D,W,W,W,14.0,13.0,16.0,1.0,-0.625,0.5,DLD,WWW,2,9,-0.4375
5476,West Brom,Aston Villa,1,0,H,14,10,20,19,0.875,1.1875,D,L,L,W,W,D,17.0,15.0,16.0,2.0,-0.375,-0.5625,DLL,WWD,1,7,-0.375
5477,Man United,Liverpool,3,0,H,26,19,17,19,1.75,1.3125,W,W,W,D,W,W,7.0,2.0,16.0,5.0,0.5625,0.0,WWW,DWW,9,7,0.125
5478,Swansea,Tottenham,1,2,A,20,18,17,21,1.375,1.3125,L,W,D,D,L,W,12.0,6.0,16.0,6.0,0.1875,-0.1875,LWD,DLW,4,4,0.0
5479,Everton,QPR,3,1,H,24,16,23,27,1.125,0.875,L,D,L,W,L,W,5.0,18.0,16.0,-13.0,0.0625,-0.6875,LDL,WLW,1,6,-0.3125
5480,Aston Villa,Man United,1,1,D,10,29,20,17,1.1176470588235294,1.8235294117647058,L,W,W,W,W,W,15.0,7.0,17.0,8.0,-0.5882352941176471,0.7058823529411765,LWW,WWW,6,9,-0.17647058823529413
5481,Hull,Swansea,0,1,A,15,21,23,19,0.7647058823529411,1.2941176470588236,L,D,D,L,L,W,16.0,12.0,17.0,4.0,-0.47058823529411764,0.11764705882352941,LDD,LLW,2,3,-0.058823529411764705
5482,Man City,Crystal Palace,3,0,H,33,19,14,24,2.1176470588235294,0.8823529411764706,W,W,W,D,D,L,1.0,11.0,17.0,-10.0,1.1176470588235294,-0.29411764705882354,WWW,DDL,9,2,0.4117647058823529
5483,QPR,West Brom,3,2,H,17,15,30,20,0.8235294117647058,1.0,L,W,L,W,D,L,18.0,17.0,17.0,1.0,-0.7647058823529411,-0.29411764705882354,LWL,WDL,3,4,-0.058823529411764705
5484,Southampton,Everton,3,0,H,25,27,13,24,1.5294117647058822,1.2352941176470589,L,L,L,W,L,D,8.0,5.0,17.0,3.0,0.7058823529411765,0.17647058823529413,LLL,WLD,0,4,-0.23529411764705882
5485,Tottenham,Burnley,2,1,H,20,11,22,24,1.411764705882353,0.8823529411764706,W,D,L,W,L,D,6.0,18.0,17.0,-12.0,-0.11764705882352941,-0.7647058823529411,WDL,WLD,4,4,0.0
5486,West Ham,Leicester,2,0,H,27,15,19,27,1.6470588235294117,0.5882352941176471,D,W,W,L,L,L,13.0,18.0,17.0,-5.0,0.47058823529411764,-0.7058823529411765,DWW,LLL,7,0,0.4117647058823529
5487,Liverpool,Arsenal,2,2,D,19,28,22,19,1.2352941176470589,1.5294117647058822,L,D,W,W,L,W,2.0,4.0,17.0,-2.0,-0.17647058823529413,0.5294117647058824,LDW,WLW,4,6,-0.11764705882352941
